id,year,album,song,danceability,energy,speechiness,acousticness,liveness,valence,duration_ms,image,trackNum
1,1963,Please Please Me,I Saw Her Standing There,0.491,0.801,0.0361,0.27,0.0665,0.971,173947,pleasepleaseme.jpeg,14
2,1963,Please Please Me,Misery,0.591,0.605,0.0413,0.707,0.309,0.882,108547,pleasepleaseme.jpeg,14
3,1963,Please Please Me,Anna,0.608,0.565,0.0336,0.635,0.0601,0.835,177133,pleasepleaseme.jpeg,14
4,1963,Please Please Me,Chains,0.654,0.561,0.0304,0.608,0.129,0.929,145080,pleasepleaseme.jpeg,14
5,1963,Please Please Me,Boys,0.402,0.86,0.0504,0.607,0.736,0.822,146440,pleasepleaseme.jpeg,14
6,1963,Please Please Me,Ask Me Why,0.605,0.394,0.0378,0.767,0.0967,0.597,146533,pleasepleaseme.jpeg,14
7,1963,Please Please Me,Please Please Me,0.527,0.48,0.028,0.334,0.0702,0.706,120853,pleasepleaseme.jpeg,14
8,1963,Please Please Me,Love Me Do,0.52,0.829,0.0806,0.386,0.227,0.744,141693,pleasepleaseme.jpeg,14
9,1963,Please Please Me,P.S. I Love You,0.635,0.656,0.0291,0.389,0.0828,0.77,124360,pleasepleaseme.jpeg,14
10,1963,Please Please Me,Baby It's You,0.608,0.494,0.0345,0.778,0.0926,0.879,160520,pleasepleaseme.jpeg,14
11,1963,Please Please Me,Do You Want to Know a Secret,0.673,0.349,0.0368,0.608,0.38,0.609,117013,pleasepleaseme.jpeg,14
12,1963,Please Please Me,Taste of Honey,0.42,0.372,0.0327,0.698,0.104,0.412,123480,pleasepleaseme.jpeg,14
13,1963,Please Please Me,There's a Place,0.455,0.582,0.0292,0.629,0.172,0.927,110493,pleasepleaseme.jpeg,14
14,1963,Please Please Me,Twist and Shout,0.482,0.849,0.0452,0.641,0.0414,0.937,155227,pleasepleaseme.jpeg,14
15,1963,With The Beatles,It Wont Be Long,0.472,0.673,0.0318,0.284,0.206,0.862,133387,withthebeatles.jpeg,14
16,1963,With The Beatles,All I've Got To Do,0.49,0.579,0.0344,0.217,0.0644,0.879,122573,withthebeatles.jpeg,14
17,1963,With The Beatles,All My Loving,0.416,0.563,0.0298,0.207,0.343,0.9,127853,withthebeatles.jpeg,14
18,1963,With The Beatles,Don’t Bother Me,0.371,0.724,0.0562,0.554,0.299,0.916,148253,withthebeatles.jpeg,14
19,1963,With The Beatles,Little Child,0.526,0.858,0.0476,0.292,0.353,0.886,106400,withthebeatles.jpeg,14
20,1963,With The Beatles,Till There Was You,0.727,0.338,0.0454,0.79,0.105,0.646,133507,withthebeatles.jpeg,14
21,1963,With The Beatles,Please Mister Postman,0.552,0.644,0.0372,0.675,0.36,0.961,154160,withthebeatles.jpeg,14
22,1963,With The Beatles,Roll Over Beethoven,0.351,0.749,0.0312,0.289,0.0952,0.967,165467,withthebeatles.jpeg,14
